Fiscal year,N.L.,P.E.I.,N.S.,N.B.,Que.,Ont.,Man.,Sask.,Alta.,B.C.,Territories,Canada
2007,6.5,16,7.4,8.6,7.8,9.6,10,14.5,11.5,15.1,14.9,10.2
2008,11.1,8.6,7.4,7.4,8,9.4,9,11.6,12.8,15.6,14.8,10.2
2009,8.3,6.4,9.4,11.5,7.9,10.2,8.9,13.4,14.6,15.8,17.4,10.9
2010,7.9,3.5,9.1,15.7,8.1,10.5,8.3,15,14.9,17,17.1,11.4
2011,7.4,9,9.7,13.6,8.9,12.1,12.9,17.2,14,18.8,15,12.5
2012,8.5,11,11,14.5,8.9,13,11,16.1,15.1,19.2,13.1,13
2013,10,12.4,10.1,14,9.9,12.2,10.3,13.6,16,18.9,13,12.9
2014,12.1,15.1,11.7,14.3,10,12,10.3,19.8,17.6,19.4,12.8,13.4
2015,11.2,16.4,9.8,14.1,10,12.8,9.8,24.3,20.5,23.7,21.1,14.7
2016,11.7,17.5,11.7,17.7,9.9,14,10.5,21.2,22,25,31.1,15.6
